date,open,high,low,close,volume
2025-01-02,99.2,101.4,98.7,100.0,12000
2025-01-03,100.5,102.8,100.1,102.0,13500
2025-01-06,101.9,102.2,100.3,101.0,12800
2025-01-07,101.5,104.7,101.1,104.0,14200
2025-01-08,104.2,106.8,103.9,106.0,15100
2025-01-09,105.7,106.3,104.2,105.0,14700
2025-01-10,105.5,108.9,105.0,108.0,16200
2025-01-13,108.3,110.7,107.8,110.0,17000
2025-01-14,110.1,111.8,109.7,111.0,16800
2025-01-15,111.2,113.6,110.9,113.0,18100
2025-01-16,113.1,113.4,111.2,112.0,17600
2025-01-17,112.6,115.9,112.0,115.0,19000
2025-01-20,115.4,117.8,114.9,117.0,20100
2025-01-21,116.9,117.4,115.2,116.0,19400
2025-01-22,116.4,119.7,116.0,119.0,21000
2025-01-23,119.2,121.9,118.8,121.0,22400
2025-01-24,120.7,121.2,119.1,120.0,21800
2025-01-27,120.4,123.8,119.9,123.0,23000
2025-01-28,123.2,125.9,122.7,125.0,24100
2025-01-29,124.8,125.2,123.1,124.0,23800
2025-01-30,124.5,127.8,124.0,127.0,25200
2025-01-31,127.3,129.7,126.8,129.0,26000
2025-02-03,128.6,130.4,127.9,128.0,24800
2025-02-04,128.4,131.9,128.1,131.0,27100
2025-02-05,131.2,133.6,130.7,133.0,28500
2025-02-06,132.8,134.1,131.6,132.0,27600
2025-02-07,132.3,135.4,131.8,135.0,29200
2025-02-10,135.1,137.9,134.7,137.0,30500
2025-02-11,136.8,138.1,135.2,136.0,29800
2025-02-12,136.5,140.2,136.1,139.0,32200
